layers;activation;solver;lr;epochs;acc;f1
(100,);identity;lbfgs;0.001;200;91.61;91.62
(100,);identity;lbfgs;0.001;300;92.29;92.33
(100,);identity;lbfgs;0.01;200;94.10;94.10
(100,);identity;lbfgs;0.01;300;92.52;92.54
(100,);identity;adam;0.001;200;94.33;94.33
(100,);identity;adam;0.001;300;94.10;94.13
(100,);identity;adam;0.01;200;94.33;94.35
(100,);identity;adam;0.01;300;93.88;94.02
(100,);tanh;lbfgs;0.001;200;93.20;93.27
(100,);tanh;lbfgs;0.001;300;94.33;94.36
(100,);tanh;lbfgs;0.01;200;94.10;94.14
(100,);tanh;lbfgs;0.01;300;93.88;93.90
(100,);tanh;adam;0.001;200;94.33;94.35
(100,);tanh;adam;0.001;300;93.42;93.48
(100,);tanh;adam;0.01;200;93.88;93.91
(100,);tanh;adam;0.01;300;93.65;93.70
(100,);relu;lbfgs;0.001;200;94.78;94.81
(100,);relu;lbfgs;0.001;300;94.10;94.09
(100,);relu;lbfgs;0.01;200;94.33;94.31
(100,);relu;lbfgs;0.01;300;94.10;94.14
(100,);relu;adam;0.001;200;91.38;91.52
(100,);relu;adam;0.001;300;92.74;92.79
(100,);relu;adam;0.01;200;94.56;94.56
(100,);relu;adam;0.01;300;95.01;95.01
(50,);identity;lbfgs;0.001;200;92.74;92.75
(50,);identity;lbfgs;0.001;300;93.20;93.25
(50,);identity;lbfgs;0.01;200;93.42;93.48
(50,);identity;lbfgs;0.01;300;92.52;92.54
(50,);identity;adam;0.001;200;94.33;94.34
(50,);identity;adam;0.001;300;94.10;94.13
(50,);identity;adam;0.01;200;94.56;94.60
(50,);identity;adam;0.01;300;93.42;93.46
(50,);tanh;lbfgs;0.001;200;94.33;94.32
(50,);tanh;lbfgs;0.001;300;93.88;93.93
(50,);tanh;lbfgs;0.01;200;93.65;93.72
(50,);tanh;lbfgs;0.01;300;94.10;94.14
(50,);tanh;adam;0.001;200;93.65;93.70
(50,);tanh;adam;0.001;300;94.33;94.33
(50,);tanh;adam;0.01;200;93.88;93.88
(50,);tanh;adam;0.01;300;95.01;95.04
(50,);relu;lbfgs;0.001;200;95.01;95.02
(50,);relu;lbfgs;0.001;300;94.10;94.09
(50,);relu;lbfgs;0.01;200;94.33;94.36
(50,);relu;lbfgs;0.01;300;92.97;92.98
(50,);relu;adam;0.001;200;94.10;94.10
(50,);relu;adam;0.001;300;92.97;93.00
(50,);relu;adam;0.01;200;95.46;95.47
(50,);relu;adam;0.01;300;92.97;92.99
(200,);identity;lbfgs;0.001;200;93.20;93.20
(200,);identity;lbfgs;0.001;300;92.74;92.78
(200,);identity;lbfgs;0.01;200;91.61;91.66
(200,);identity;lbfgs;0.01;300;93.20;93.26
(200,);identity;adam;0.001;200;93.88;93.91
(200,);identity;adam;0.001;300;94.56;94.54
(200,);identity;adam;0.01;200;94.10;94.12
(200,);identity;adam;0.01;300;94.56;94.58
(200,);tanh;lbfgs;0.001;200;93.88;93.92
(200,);tanh;lbfgs;0.001;300;94.33;94.39
(200,);tanh;lbfgs;0.01;200;94.56;94.59
(200,);tanh;lbfgs;0.01;300;94.56;94.58
(200,);tanh;adam;0.001;200;93.88;93.89
(200,);tanh;adam;0.001;300;94.56;94.56
(200,);tanh;adam;0.01;200;94.33;94.37
(200,);tanh;adam;0.01;300;95.24;95.26
(200,);relu;lbfgs;0.001;200;93.20;93.30
(200,);relu;lbfgs;0.001;300;94.78;94.83
(200,);relu;lbfgs;0.01;200;93.88;93.88
(200,);relu;lbfgs;0.01;300;96.15;96.14
(200,);relu;adam;0.001;200;92.06;92.15
(200,);relu;adam;0.001;300;93.20;93.26
(200,);relu;adam;0.01;200;95.69;95.72
(200,);relu;adam;0.01;300;94.56;94.59
(100, 200);identity;lbfgs;0.001;200;92.97;93.01
(100, 200);identity;lbfgs;0.001;300;91.61;91.73
(100, 200);identity;lbfgs;0.01;200;92.74;92.77
(100, 200);identity;lbfgs;0.01;300;93.65;93.69
(100, 200);identity;adam;0.001;200;94.56;94.55
(100, 200);identity;adam;0.001;300;94.56;94.55
(100, 200);identity;adam;0.01;200;93.65;93.66
(100, 200);identity;adam;0.01;300;92.29;92.43
(100, 200);tanh;lbfgs;0.001;200;94.56;94.59
(100, 200);tanh;lbfgs;0.001;300;94.56;94.58
(100, 200);tanh;lbfgs;0.01;200;93.88;93.93
(100, 200);tanh;lbfgs;0.01;300;93.20;93.23
(100, 200);tanh;adam;0.001;200;94.10;94.11
(100, 200);tanh;adam;0.001;300;93.88;93.89
(100, 200);tanh;adam;0.01;200;95.24;95.25
(100, 200);tanh;adam;0.01;300;95.46;95.49
(100, 200);relu;lbfgs;0.001;200;94.33;94.36
(100, 200);relu;lbfgs;0.001;300;93.65;93.64
(100, 200);relu;lbfgs;0.01;200;93.20;93.18
(100, 200);relu;lbfgs;0.01;300;92.74;92.70
(100, 200);relu;adam;0.001;200;93.88;93.92
(100, 200);relu;adam;0.001;300;93.88;93.92
(100, 200);relu;adam;0.01;200;94.78;94.81
(100, 200);relu;adam;0.01;300;91.61;91.74
