layers;activation;solver;lr;epochs;acc;f1
(100,);identity;lbfgs;0.001;200;99.32;99.32
(100,);identity;lbfgs;0.001;300;99.32;99.32
(100,);identity;lbfgs;0.01;200;98.87;98.86
(100,);identity;lbfgs;0.01;300;98.87;98.86
(100,);identity;adam;0.001;200;99.32;99.32
(100,);identity;adam;0.001;300;99.32;99.32
(100,);identity;adam;0.01;200;98.64;98.64
(100,);identity;adam;0.01;300;97.51;97.50
(100,);tanh;lbfgs;0.001;200;99.55;99.55
(100,);tanh;lbfgs;0.001;300;98.87;98.87
(100,);tanh;lbfgs;0.01;200;98.87;98.86
(100,);tanh;lbfgs;0.01;300;98.64;98.64
(100,);tanh;adam;0.001;200;99.32;99.32
(100,);tanh;adam;0.001;300;99.32;99.32
(100,);tanh;adam;0.01;200;98.87;98.87
(100,);tanh;adam;0.01;300;98.41;98.42
(100,);relu;lbfgs;0.001;200;98.87;98.86
(100,);relu;lbfgs;0.001;300;99.55;99.55
(100,);relu;lbfgs;0.01;200;99.77;99.77
(100,);relu;lbfgs;0.01;300;98.64;98.63
(100,);relu;adam;0.001;200;99.32;99.32
(100,);relu;adam;0.001;300;99.09;99.09
(100,);relu;adam;0.01;200;99.32;99.32
(100,);relu;adam;0.01;300;99.09;99.09
(50,);identity;lbfgs;0.001;200;99.32;99.32
(50,);identity;lbfgs;0.001;300;98.64;98.64
(50,);identity;lbfgs;0.01;200;98.64;98.64
(50,);identity;lbfgs;0.01;300;99.09;99.09
(50,);identity;adam;0.001;200;99.09;99.09
(50,);identity;adam;0.001;300;98.19;98.18
(50,);identity;adam;0.01;200;98.64;98.64
(50,);identity;adam;0.01;300;98.87;98.87
(50,);tanh;lbfgs;0.001;200;98.87;98.87
(50,);tanh;lbfgs;0.001;300;99.09;99.09
(50,);tanh;lbfgs;0.01;200;98.87;98.87
(50,);tanh;lbfgs;0.01;300;99.09;99.09
(50,);tanh;adam;0.001;200;99.09;99.09
(50,);tanh;adam;0.001;300;99.32;99.32
(50,);tanh;adam;0.01;200;98.87;98.87
(50,);tanh;adam;0.01;300;98.87;98.87
(50,);relu;lbfgs;0.001;200;99.32;99.32
(50,);relu;lbfgs;0.001;300;99.77;99.77
(50,);relu;lbfgs;0.01;200;98.87;98.86
(50,);relu;lbfgs;0.01;300;98.87;98.87
(50,);relu;adam;0.001;200;99.32;99.32
(50,);relu;adam;0.001;300;99.32;99.32
(50,);relu;adam;0.01;200;99.09;99.09
(50,);relu;adam;0.01;300;98.64;98.64
(200,);identity;lbfgs;0.001;200;99.09;99.09
(200,);identity;lbfgs;0.001;300;98.87;98.86
(200,);identity;lbfgs;0.01;200;99.32;99.32
(200,);identity;lbfgs;0.01;300;98.87;98.87
(200,);identity;adam;0.001;200;99.09;99.09
(200,);identity;adam;0.001;300;98.87;98.87
(200,);identity;adam;0.01;200;98.64;98.64
(200,);identity;adam;0.01;300;98.87;98.87
(200,);tanh;lbfgs;0.001;200;99.09;99.09
(200,);tanh;lbfgs;0.001;300;99.09;99.09
(200,);tanh;lbfgs;0.01;200;98.87;98.87
(200,);tanh;lbfgs;0.01;300;99.09;99.09
(200,);tanh;adam;0.001;200;99.09;99.09
(200,);tanh;adam;0.001;300;99.32;99.32
(200,);tanh;adam;0.01;200;99.09;99.09
(200,);tanh;adam;0.01;300;98.87;98.87
(200,);relu;lbfgs;0.001;200;98.87;98.87
(200,);relu;lbfgs;0.001;300;99.32;99.32
(200,);relu;lbfgs;0.01;200;99.32;99.32
(200,);relu;lbfgs;0.01;300;99.32;99.32
(200,);relu;adam;0.001;200;98.87;98.87
(200,);relu;adam;0.001;300;99.09;99.09
(200,);relu;adam;0.01;200;99.55;99.55
(200,);relu;adam;0.01;300;99.32;99.32
(100, 200);identity;lbfgs;0.001;200;99.32;99.32
(100, 200);identity;lbfgs;0.001;300;98.64;98.64
(100, 200);identity;lbfgs;0.01;200;99.32;99.32
(100, 200);identity;lbfgs;0.01;300;98.87;98.86
(100, 200);identity;adam;0.001;200;98.87;98.87
(100, 200);identity;adam;0.001;300;98.64;98.64
(100, 200);identity;adam;0.01;200;95.92;95.95
(100, 200);identity;adam;0.01;300;96.60;96.61
(100, 200);tanh;lbfgs;0.001;200;99.32;99.32
(100, 200);tanh;lbfgs;0.001;300;99.32;99.32
(100, 200);tanh;lbfgs;0.01;200;98.87;98.86
(100, 200);tanh;lbfgs;0.01;300;99.32;99.32
(100, 200);tanh;adam;0.001;200;99.09;99.09
(100, 200);tanh;adam;0.001;300;99.09;99.09
(100, 200);tanh;adam;0.01;200;98.19;98.19
(100, 200);tanh;adam;0.01;300;98.41;98.42
(100, 200);relu;lbfgs;0.001;200;99.32;99.32
(100, 200);relu;lbfgs;0.001;300;99.32;99.32
(100, 200);relu;lbfgs;0.01;200;99.32;99.32
(100, 200);relu;lbfgs;0.01;300;99.32;99.32
(100, 200);relu;adam;0.001;200;99.09;99.09
(100, 200);relu;adam;0.001;300;99.09;99.09
(100, 200);relu;adam;0.01;200;99.32;99.32
(100, 200);relu;adam;0.01;300;99.32;99.32
