layers;activation;solver;lr;epochs;acc;f1
(100,);identity;lbfgs;0.001;200;94.33;94.30
(100,);identity;lbfgs;0.001;300;94.56;94.52
(100,);identity;lbfgs;0.01;200;94.33;94.30
(100,);identity;lbfgs;0.01;300;94.10;94.06
(100,);identity;adam;0.001;200;94.33;94.31
(100,);identity;adam;0.001;300;94.56;94.53
(100,);identity;adam;0.01;200;94.78;94.75
(100,);identity;adam;0.01;300;94.33;94.30
(100,);tanh;lbfgs;0.001;200;94.78;94.78
(100,);tanh;lbfgs;0.001;300;94.56;94.54
(100,);tanh;lbfgs;0.01;200;95.01;94.99
(100,);tanh;lbfgs;0.01;300;95.01;94.99
(100,);tanh;adam;0.001;200;95.69;95.68
(100,);tanh;adam;0.001;300;95.69;95.67
(100,);tanh;adam;0.01;200;95.69;95.68
(100,);tanh;adam;0.01;300;95.01;94.99
(100,);relu;lbfgs;0.001;200;96.37;96.37
(100,);relu;lbfgs;0.001;300;95.24;95.22
(100,);relu;lbfgs;0.01;200;94.33;94.31
(100,);relu;lbfgs;0.01;300;96.37;96.37
(100,);relu;adam;0.001;200;95.46;95.45
(100,);relu;adam;0.001;300;95.01;94.99
(100,);relu;adam;0.01;200;95.92;95.93
(100,);relu;adam;0.01;300;95.69;95.68
(50,);identity;lbfgs;0.001;200;94.56;94.52
(50,);identity;lbfgs;0.001;300;94.10;94.06
(50,);identity;lbfgs;0.01;200;94.33;94.30
(50,);identity;lbfgs;0.01;300;94.56;94.52
(50,);identity;adam;0.001;200;94.56;94.53
(50,);identity;adam;0.001;300;94.33;94.31
(50,);identity;adam;0.01;200;94.10;94.07
(50,);identity;adam;0.01;300;93.88;93.85
(50,);tanh;lbfgs;0.001;200;94.10;94.09
(50,);tanh;lbfgs;0.001;300;94.78;94.76
(50,);tanh;lbfgs;0.01;200;93.42;93.39
(50,);tanh;lbfgs;0.01;300;94.56;94.54
(50,);tanh;adam;0.001;200;95.92;95.91
(50,);tanh;adam;0.001;300;95.69;95.68
(50,);tanh;adam;0.01;200;95.24;95.23
(50,);tanh;adam;0.01;300;95.24;95.23
(50,);relu;lbfgs;0.001;200;94.56;94.55
(50,);relu;lbfgs;0.001;300;94.10;94.08
(50,);relu;lbfgs;0.01;200;94.33;94.31
(50,);relu;lbfgs;0.01;300;94.78;94.77
(50,);relu;adam;0.001;200;95.92;95.91
(50,);relu;adam;0.001;300;95.92;95.92
(50,);relu;adam;0.01;200;95.69;95.70
(50,);relu;adam;0.01;300;95.01;95.00
(200,);identity;lbfgs;0.001;200;94.56;94.52
(200,);identity;lbfgs;0.001;300;94.10;94.06
(200,);identity;lbfgs;0.01;200;94.33;94.30
(200,);identity;lbfgs;0.01;300;94.33;94.30
(200,);identity;adam;0.001;200;94.56;94.53
(200,);identity;adam;0.001;300;94.78;94.76
(200,);identity;adam;0.01;200;94.78;94.75
(200,);identity;adam;0.01;300;94.56;94.53
(200,);tanh;lbfgs;0.001;200;94.56;94.55
(200,);tanh;lbfgs;0.001;300;94.56;94.54
(200,);tanh;lbfgs;0.01;200;95.24;95.22
(200,);tanh;lbfgs;0.01;300;94.78;94.76
(200,);tanh;adam;0.001;200;95.46;95.45
(200,);tanh;adam;0.001;300;94.78;94.75
(200,);tanh;adam;0.01;200;95.24;95.23
(200,);tanh;adam;0.01;300;95.92;95.91
(200,);relu;lbfgs;0.001;200;95.69;95.69
(200,);relu;lbfgs;0.001;300;95.92;95.90
(200,);relu;lbfgs;0.01;200;95.92;95.91
(200,);relu;lbfgs;0.01;300;96.37;96.38
(200,);relu;adam;0.001;200;95.24;95.23
(200,);relu;adam;0.001;300;95.69;95.68
(200,);relu;adam;0.01;200;96.37;96.38
(200,);relu;adam;0.01;300;95.69;95.68
(100, 200);identity;lbfgs;0.001;200;94.33;94.30
(100, 200);identity;lbfgs;0.001;300;94.33;94.30
(100, 200);identity;lbfgs;0.01;200;94.33;94.30
(100, 200);identity;lbfgs;0.01;300;94.10;94.06
(100, 200);identity;adam;0.001;200;93.65;93.60
(100, 200);identity;adam;0.001;300;94.33;94.31
(100, 200);identity;adam;0.01;200;94.56;94.54
(100, 200);identity;adam;0.01;300;95.01;94.99
(100, 200);tanh;lbfgs;0.001;200;93.20;93.16
(100, 200);tanh;lbfgs;0.001;300;95.01;94.99
(100, 200);tanh;lbfgs;0.01;200;94.10;94.08
(100, 200);tanh;lbfgs;0.01;300;94.10;94.05
(100, 200);tanh;adam;0.001;200;95.92;95.90
(100, 200);tanh;adam;0.001;300;95.01;95.01
(100, 200);tanh;adam;0.01;200;95.69;95.67
(100, 200);tanh;adam;0.01;300;94.78;94.77
(100, 200);relu;lbfgs;0.001;200;95.24;95.24
(100, 200);relu;lbfgs;0.001;300;95.69;95.68
(100, 200);relu;lbfgs;0.01;200;95.69;95.69
(100, 200);relu;lbfgs;0.01;300;95.46;95.45
(100, 200);relu;adam;0.001;200;95.24;95.23
(100, 200);relu;adam;0.001;300;95.69;95.69
(100, 200);relu;adam;0.01;200;95.46;95.46
(100, 200);relu;adam;0.01;300;95.24;95.23
