name;time
NO PCA;;
DT;0.00165
KNN;0.00226
RF;0.00363
GBC;0.00209
GNB;0.00163
SVM;0.00165
MLP;0.00173
PCA (N);;
DT;0.00173
KNN;0.00272
RF;0.00381
GBC;0.00222
GNB;0.00186
SVM;0.00184
MLP;0.00204
PCA (300);;
DT;0.00180
KNN;0.00285
RF;0.00391
GBC;0.00245
GNB;0.00199
SVM;0.00203
MLP;0.00199
PCA (150);;
DT;0.00182
KNN;0.00276
RF;0.00417
GBC;0.00231
GNB;0.00190
SVM;0.00183
MLP;0.00195
PCA (50);;
DT;0.00176
KNN;0.00241
RF;0.00398
GBC;0.00231
GNB;0.00199
SVM;0.00186
MLP;0.00179
PCA (17);;
DT;0.00190
KNN;0.00237
RF;0.00419
GBC;0.00238
GNB;0.00191
SVM;0.00199
MLP;0.00180
PCA (2);;
DT;0.00193
KNN;0.00268
RF;0.00415
GBC;0.00228
GNB;0.00188
SVM;0.00189
MLP;0.00180
