layers;activation;solver;lr;epochs;acc;f1
(100,);identity;lbfgs;0.001;200;99.32;99.32
(100,);identity;lbfgs;0.001;300;98.19;98.19
(100,);identity;lbfgs;0.01;200;99.55;99.55
(100,);identity;lbfgs;0.01;300;98.87;98.87
(100,);identity;adam;0.001;200;99.32;99.32
(100,);identity;adam;0.001;300;99.32;99.32
(100,);identity;adam;0.01;200;99.09;99.09
(100,);identity;adam;0.01;300;99.32;99.32
(100,);tanh;lbfgs;0.001;200;98.87;98.87
(100,);tanh;lbfgs;0.001;300;99.77;99.77
(100,);tanh;lbfgs;0.01;200;99.77;99.77
(100,);tanh;lbfgs;0.01;300;99.77;99.77
(100,);tanh;adam;0.001;200;97.51;97.49
(100,);tanh;adam;0.001;300;98.64;98.63
(100,);tanh;adam;0.01;200;99.55;99.55
(100,);tanh;adam;0.01;300;99.55;99.55
(100,);relu;lbfgs;0.001;200;98.87;98.86
(100,);relu;lbfgs;0.001;300;99.55;99.55
(100,);relu;lbfgs;0.01;200;98.87;98.87
(100,);relu;lbfgs;0.01;300;99.09;99.10
(100,);relu;adam;0.001;200;99.09;99.10
(100,);relu;adam;0.001;300;98.41;98.42
(100,);relu;adam;0.01;200;98.64;98.64
(100,);relu;adam;0.01;300;99.09;99.09
(50,);identity;lbfgs;0.001;200;99.77;99.77
(50,);identity;lbfgs;0.001;300;99.32;99.33
(50,);identity;lbfgs;0.01;200;99.55;99.54
(50,);identity;lbfgs;0.01;300;99.55;99.55
(50,);identity;adam;0.001;200;99.09;99.09
(50,);identity;adam;0.001;300;98.87;98.86
(50,);identity;adam;0.01;200;99.32;99.32
(50,);identity;adam;0.01;300;99.32;99.32
(50,);tanh;lbfgs;0.001;200;98.64;98.63
(50,);tanh;lbfgs;0.001;300;99.32;99.32
(50,);tanh;lbfgs;0.01;200;99.09;99.09
(50,);tanh;lbfgs;0.01;300;99.55;99.55
(50,);tanh;adam;0.001;200;97.96;97.95
(50,);tanh;adam;0.001;300;99.32;99.32
(50,);tanh;adam;0.01;200;98.64;98.64
(50,);tanh;adam;0.01;300;99.32;99.32
(50,);relu;lbfgs;0.001;200;98.41;98.41
(50,);relu;lbfgs;0.001;300;98.41;98.42
(50,);relu;lbfgs;0.01;200;99.32;99.32
(50,);relu;lbfgs;0.01;300;99.32;99.32
(50,);relu;adam;0.001;200;98.87;98.87
(50,);relu;adam;0.001;300;98.41;98.42
(50,);relu;adam;0.01;200;99.09;99.10
(50,);relu;adam;0.01;300;99.09;99.09
(200,);identity;lbfgs;0.001;200;99.55;99.55
(200,);identity;lbfgs;0.001;300;99.32;99.32
(200,);identity;lbfgs;0.01;200;99.09;99.10
(200,);identity;lbfgs;0.01;300;99.32;99.32
(200,);identity;adam;0.001;200;99.32;99.32
(200,);identity;adam;0.001;300;99.32;99.32
(200,);identity;adam;0.01;200;99.32;99.32
(200,);identity;adam;0.01;300;99.32;99.32
(200,);tanh;lbfgs;0.001;200;99.09;99.09
(200,);tanh;lbfgs;0.001;300;98.64;98.64
(200,);tanh;lbfgs;0.01;200;99.77;99.77
(200,);tanh;lbfgs;0.01;300;99.09;99.10
(200,);tanh;adam;0.001;200;99.09;99.09
(200,);tanh;adam;0.001;300;99.32;99.31
(200,);tanh;adam;0.01;200;99.32;99.32
(200,);tanh;adam;0.01;300;98.87;98.86
(200,);relu;lbfgs;0.001;200;98.41;98.42
(200,);relu;lbfgs;0.001;300;98.87;98.87
(200,);relu;lbfgs;0.01;200;99.32;99.32
(200,);relu;lbfgs;0.01;300;99.55;99.55
(200,);relu;adam;0.001;200;98.41;98.42
(200,);relu;adam;0.001;300;98.87;98.87
(200,);relu;adam;0.01;200;99.09;99.10
(200,);relu;adam;0.01;300;98.87;98.87
(100, 200);identity;lbfgs;0.001;200;99.55;99.54
(100, 200);identity;lbfgs;0.001;300;98.64;98.64
(100, 200);identity;lbfgs;0.01;200;99.55;99.55
(100, 200);identity;lbfgs;0.01;300;99.55;99.55
(100, 200);identity;adam;0.001;200;99.32;99.32
(100, 200);identity;adam;0.001;300;99.55;99.55
(100, 200);identity;adam;0.01;200;96.83;96.84
(100, 200);identity;adam;0.01;300;98.41;98.42
(100, 200);tanh;lbfgs;0.001;200;99.09;99.09
(100, 200);tanh;lbfgs;0.001;300;98.41;98.41
(100, 200);tanh;lbfgs;0.01;200;99.32;99.32
(100, 200);tanh;lbfgs;0.01;300;99.32;99.33
(100, 200);tanh;adam;0.001;200;99.09;99.10
(100, 200);tanh;adam;0.001;300;98.87;98.86
(100, 200);tanh;adam;0.01;200;98.64;98.64
(100, 200);tanh;adam;0.01;300;99.09;99.09
(100, 200);relu;lbfgs;0.001;200;98.64;98.64
(100, 200);relu;lbfgs;0.001;300;99.09;99.09
(100, 200);relu;lbfgs;0.01;200;97.28;97.30
(100, 200);relu;lbfgs;0.01;300;97.73;97.75
(100, 200);relu;adam;0.001;200;98.41;98.41
(100, 200);relu;adam;0.001;300;98.19;98.19
(100, 200);relu;adam;0.01;200;97.96;97.96
(100, 200);relu;adam;0.01;300;98.19;98.18
